;grid=15x15:extent=(31.5000,-31.5000,-31.5000,31.5000):X_lbl=p_y:Y_lbl=p_x
    #,   Plate Y,   Plate X,  Seconds,       i0,       i1,      mon,    bstop,  LaserRf,      CH6,      CH7,     TEMP,   marccd,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     ROI8,     ROI9,    ROI10,    RIO11,    ROI12,    ROI13,      SWX,     CCD1,    CTEMP,    Timer,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,    PRESS,   lvdt11,   lvdt12,   lvdt21,   lvdt22,   lvdt31,   lvdt32,   lvdt41,   lvdt42,   CTEMPB,  X3_ROI1,  X3_ROI2,  X3_ROI3,  X3_ROI4,  X3_ROI5,  X3_ROI6,  X3_ROI7,  X3_ROI8
   40,     -13.5,     -22.5,   60.000,  4886853, 15200819,      747,        0, 40586012,        0,        0,        0, 63.988209,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 12245.838,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   260406,    31024,   117025,   113030,        0,        0,        0,        0
   41,       -18,     -22.5,   60.000,  4912313, 15248278,     9035,        0, 40525499,        0,        0,        0, 64.041066,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 12311.751,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   254137,    31492,   110977,   107068,        0,        0,        0,        0
   42,     -22.5,     -22.5,   60.000,  4907055, 15252923,    10300,        0,        0,        0,        0,        0, 63.924734,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 12377.48,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   245153,    31473,   103204,    99695,        0,        0,        0,        0
   46,        27,       -18,   60.000,  4903115, 15250877,      278,        0, 40605523,        0,        0,        0, 64.061765,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 12448.347,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   315797,    22937,   170629,   165000,        0,        0,        0,        0
   47,      22.5,       -18,   60.000,  4899565, 15198476,      219,        0, 40639201,        0,        0,        0, 63.902146,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 12514.036,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   315034,    24180,   169305,   163708,        0,        0,        0,        0
   48,        18,       -18,   60.000,  4905635, 15175420,     2005,        0, 40633470,        0,        0,        0, 63.904086,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 12579.816,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   312366,    25528,   166408,   160881,        0,        0,        0,        0
   49,      13.5,       -18,   60.000,  4936679, 15235676,     1940,        0, 40667759,        0,        0,        0, 64.123684,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 12645.88,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   310077,    26933,   162810,   157385,        0,        0,        0,        0
   50,         9,       -18,   60.000,  4931122, 15233254,     5830,        0, 40625827,        0,        0,        0, 63.832078,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 12711.772,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   305503,    28040,   157550,   152439,        0,        0,        0,        0
   51,       4.5,       -18,   60.000,  4927329, 15227621,     5737,        0, 40633769,        0,        0,        0, 64.002535,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 12777.631,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   298949,    28931,   151757,   146772,        0,        0,        0,        0
   52,         0,       -18,   60.000,  4919785, 15173524,     6116,        0, 40488386,        0,        0,        0, 63.909856,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 12843.372,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   292569,    29804,   145172,   140299,        0,        0,        0,        0
